Month,Title,Fecha,Column4,Employed,Trend,Serie sin tendencia,Estacionalidad,Residuo,Serie desestacionalizada,,,
1992 feb.,Retail Trade,01/02/92,2,12586,12876,-289,-268,-21,12854,,11,361.3974457
1992 mar.,Retail Trade,01/03/92,3,12548,12848,-300,-225,-75,12773,,12,550.6139208
1992 abr.,Retail Trade,01/04/92,4,12636,12844,-208,-164,-44,12800,,,
1992 may.,Retail Trade,01/05/92,5,12740,12854,-113,-72,-42,12812,,,
1992 jun.,Retail Trade,01/06/92,6,12825,12866,-41,-2,-39,12827,,,
1992 jul.,Retail Trade,01/07/92,7,12805,12879,-74,-10,-63,12815,,,
1992 ago.,Retail Trade,01/08/92,8,12811,12892,-82,-11,-71,12821,,,
1992 sep.,Retail Trade,01/09/92,9,12784,12913,-129,-101,-28,12885,,,
1992 oct.,Retail Trade,01/10/92,10,12890,12944,-54,2,-56,12888,,,
1992 nov.,Retail Trade,01/11/92,11,13148,12954,194,361,-168,12786,,,
1992 dic.,Retail Trade,01/12/92,12,13412,12960,451,551,-99,12861,,,
1993 ene.,Retail Trade,01/01/93,1,12849,12966,-117,-94,-23,12943,,,
1993 feb.,Retail Trade,01/02/93,2,12702,12967,-265,-268,3,12970,,,
1993 mar.,Retail Trade,01/03/93,3,12654,12963,-309,-225,-84,12880,,,
1993 abr.,Retail Trade,01/04/93,4,12745,12985,-240,-164,-76,12909,,,
1993 may.,Retail Trade,01/05/93,5,12864,13016,-152,-72,-81,12936,,,
1993 jun.,Retail Trade,01/06/93,6,12975,13051,-76,-2,-74,12977,,,
1993 jul.,Retail Trade,01/07/93,7,13009,13084,-74,-10,-64,13020,,,
1993 ago.,Retail Trade,01/08/93,8,13048,13118,-69,-11,-59,13059,,,
1993 sep.,Retail Trade,01/09/93,9,13049,13161,-113,-101,-12,13150,,,
1993 oct.,Retail Trade,01/10/93,10,13175,13216,-41,2,-43,13173,,,
1993 nov.,Retail Trade,01/11/93,11,13458,13249,208,361,-153,13096,,,
1993 dic.,Retail Trade,01/12/93,12,13756,13276,479,551,-72,13205,,,
1994 ene.,Retail Trade,01/01/94,1,13153,13299,-146,-94,-52,13247,,,
1994 feb.,Retail Trade,01/02/94,2,13015,13316,-301,-268,-33,13283,,,
1994 mar.,Retail Trade,01/03/94,3,13051,13328,-277,-225,-51,13277,,,
1994 abr.,Retail Trade,01/04/94,4,13165,13364,-198,-164,-34,13329,,,
1994 may.,Retail Trade,01/05/94,5,13295,13404,-109,-72,-38,13367,,,
1994 jun.,Retail Trade,01/06/94,6,13429,13447,-18,-2,-17,13430,,,
1994 jul.,Retail Trade,01/07/94,7,13486,13487,-1,-10,9,13496,,,
1994 ago.,Retail Trade,01/08/94,8,13549,13526,23,-11,34,13560,,,
1994 sep.,Retail Trade,01/09/94,9,13581,13574,8,-101,109,13683,,,
1994 oct.,Retail Trade,01/10/94,10,13726,13628,98,2,96,13724,,,
1994 nov.,Retail Trade,01/11/94,11,14097,13658,438,361,77,13735,,,
1994 dic.,Retail Trade,01/12/94,12,14380,13682,698,551,148,13830,,,
1995 ene.,Retail Trade,01/01/95,1,13775,13702,73,-94,167,13869,,,
1995 feb.,Retail Trade,01/02/95,2,13580,13714,-134,-268,134,13848,,,
1995 mar.,Retail Trade,01/03/95,3,13539,13722,-183,-225,42,13765,,,
1995 abr.,Retail Trade,01/04/95,4,13654,13755,-101,-164,63,13818,,,
1995 may.,Retail Trade,01/05/95,5,13758,13794,-36,-72,35,13829,,,
1995 jun.,Retail Trade,01/06/95,6,13875,13832,42,-2,44,13876,,,
1995 jul.,Retail Trade,01/07/95,7,13878,13866,12,-10,22,13889,,,
1995 ago.,Retail Trade,01/08/95,8,13908,13902,6,-11,17,13919,,,
1995 sep.,Retail Trade,01/09/95,9,13894,13945,-51,-101,50,13995,,,
1995 oct.,Retail Trade,01/10/95,10,14006,13996,10,2,8,14004,,,
1995 nov.,Retail Trade,01/11/95,11,14347,14020,327,361,-34,13986,,,
1995 dic.,Retail Trade,01/12/95,12,14589,14035,554,551,3,14038,,,
1996 ene.,Retail Trade,01/01/96,1,13928,14046,-118,-94,-24,14021,,,
1996 feb.,Retail Trade,01/02/96,2,13731,14046,-316,-268,-48,13999,,,
1996 mar.,Retail Trade,01/03/96,3,13748,14042,-293,-225,-68,13973,,,
1996 abr.,Retail Trade,01/04/96,4,13812,14061,-249,-164,-86,13975,,,
1996 may.,Retail Trade,01/05/96,5,13994,14088,-94,-72,-22,14065,,,
1996 jun.,Retail Trade,01/06/96,6,14108,14117,-10,-2,-8,14109,,,
1996 jul.,Retail Trade,01/07/96,7,14136,14141,-5,-10,5,14146,,,
1996 ago.,Retail Trade,01/08/96,8,14167,14168,-1,-11,10,14178,,,
1996 sep.,Retail Trade,01/09/96,9,14154,14204,-50,-101,51,14255,,,
1996 oct.,Retail Trade,01/10/96,10,14328,14248,79,2,77,14326,,,
1996 nov.,Retail Trade,01/11/96,11,14692,14267,425,361,63,14331,,,
1996 dic.,Retail Trade,01/12/96,12,14956,14279,677,551,126,14406,,,
1997 ene.,Retail Trade,01/01/97,1,14227,14287,-60,-94,34,14321,,,
1997 feb.,Retail Trade,01/02/97,2,14023,14286,-263,-268,5,14291,,,
1997 mar.,Retail Trade,01/03/97,3,14040,14282,-242,-225,-17,14265,,,
1997 abr.,Retail Trade,01/04/97,4,14119,14304,-186,-164,-22,14282,,,
1997 may.,Retail Trade,01/05/97,5,14242,14334,-92,-72,-21,14313,,,
1997 jun.,Retail Trade,01/06/97,6,14339,14364,-25,-2,-23,14341,,,
1997 jul.,Retail Trade,01/07/97,7,14355,14391,-37,-10,-26,14365,,,
1997 ago.,Retail Trade,01/08/97,8,14392,14417,-25,-11,-15,14403,,,
1997 sep.,Retail Trade,01/09/97,9,14360,14452,-93,-101,9,14461,,,
1997 oct.,Retail Trade,01/10/97,10,14533,14495,38,2,36,14531,,,
1997 nov.,Retail Trade,01/11/97,11,14904,14514,390,361,29,14543,,,
1997 dic.,Retail Trade,01/12/97,12,15177,14528,648,551,98,14626,,,
1998 ene.,Retail Trade,01/01/98,1,14456,14537,-81,-94,13,14550,,,
1998 feb.,Retail Trade,01/02/98,2,14243,14537,-293,-268,-25,14511,,,
1998 mar.,Retail Trade,01/03/98,3,14226,14532,-306,-225,-81,14451,,,
1998 abr.,Retail Trade,01/04/98,4,14322,14557,-235,-164,-71,14486,,,
1998 may.,Retail Trade,01/05/98,5,14472,14589,-118,-72,-46,14543,,,
1998 jun.,Retail Trade,01/06/98,6,14569,14622,-53,-2,-52,14570,,,
1998 jul.,Retail Trade,01/07/98,7,14602,14651,-49,-10,-39,14612,,,
1998 ago.,Retail Trade,01/08/98,8,14617,14682,-65,-11,-54,14628,,,
1998 sep.,Retail Trade,01/09/98,9,14601,14722,-121,-101,-20,14703,,,
1998 oct.,Retail Trade,01/10/98,10,14746,14773,-27,2,-29,14744,,,
1998 nov.,Retail Trade,01/11/98,11,15114,14798,316,361,-45,14753,,,
1998 dic.,Retail Trade,01/12/98,12,15388,14817,571,551,21,14838,,,
1999 ene.,Retail Trade,01/01/99,1,14705,14831,-126,-94,-32,14799,,,
1999 feb.,Retail Trade,01/02/99,2,14567,14838,-271,-268,-3,14835,,,
1999 mar.,Retail Trade,01/03/99,3,14575,14837,-262,-225,-36,14800,,,
1999 abr.,Retail Trade,01/04/99,4,14696,14864,-168,-164,-4,14860,,,
1999 may.,Retail Trade,01/05/99,5,14828,14898,-70,-72,1,14900,,,
1999 jun.,Retail Trade,01/06/99,6,14931,14934,-3,-2,-2,14933,,,
1999 jul.,Retail Trade,01/07/99,7,14976,14966,10,-10,21,14987,,,
1999 ago.,Retail Trade,01/08/99,8,14991,14997,-6,-11,5,15002,,,
1999 sep.,Retail Trade,01/09/99,9,14964,15039,-76,-101,26,15065,,,
1999 oct.,Retail Trade,01/10/99,10,15136,15088,47,2,45,15134,,,
1999 nov.,Retail Trade,01/11/99,11,15505,15111,394,361,32,15144,,,
1999 dic.,Retail Trade,01/12/99,12,15813,15128,685,551,134,15262,,,
2000 ene.,Retail Trade,01/01/00,1,15123,15140,-17,-94,77,15217,,,
2000 feb.,Retail Trade,01/02/00,2,14918,15137,-219,-268,49,15186,,,
2000 mar.,Retail Trade,01/03/00,3,14944,15129,-185,-225,40,15170,,,
2000 abr.,Retail Trade,01/04/00,4,15090,15148,-58,-164,106,15254,,,
2000 may.,Retail Trade,01/05/00,5,15145,15169,-23,-72,48,15217,,,
2000 jun.,Retail Trade,01/06/00,6,15241,15190,51,-2,52,15242,,,
2000 jul.,Retail Trade,01/07/00,7,15242,15205,37,-10,47,15252,,,
2000 ago.,Retail Trade,01/08/00,8,15273,15219,54,-11,65,15284,,,
2000 sep.,Retail Trade,01/09/00,9,15240,15241,-1,-101,100,15341,,,
2000 oct.,Retail Trade,01/10/00,10,15383,15266,117,2,115,15381,,,
2000 nov.,Retail Trade,01/11/00,11,15777,15266,511,361,149,15415,,,
2000 dic.,Retail Trade,01/12/00,12,16028,15260,768,551,217,15477,,,
2001 ene.,Retail Trade,01/01/01,1,15288,15249,39,-94,133,15382,,,
2001 feb.,Retail Trade,01/02/01,2,15094,15227,-133,-268,135,15362,,,
2001 mar.,Retail Trade,01/03/01,3,15077,15198,-121,-225,105,15302,,,
2001 abr.,Retail Trade,01/04/01,4,15047,15195,-148,-164,16,15211,,,
2001 may.,Retail Trade,01/05/01,5,15158,15198,-40,-72,31,15229,,,
2001 jun.,Retail Trade,01/06/01,6,15248,15199,49,-2,51,15250,,,
2001 jul.,Retail Trade,01/07/01,7,15165,15193,-28,-10,-18,15175,,,
2001 ago.,Retail Trade,01/08/01,8,15190,15189,1,-11,12,15200,,,
2001 sep.,Retail Trade,01/09/01,9,15128,15194,-65,-101,36,15230,,,
2001 oct.,Retail Trade,01/10/01,10,15224,15205,19,2,17,15222,,,
2001 nov.,Retail Trade,01/11/01,11,15576,15191,385,361,24,15215,,,
2001 dic.,Retail Trade,01/12/01,12,15714,15171,543,551,-8,15163,,,
2002 ene.,Retail Trade,01/01/02,1,14985,15146,-161,-94,-67,15079,,,
2002 feb.,Retail Trade,01/02/02,2,14786,15109,-324,-268,-56,15054,,,
2002 mar.,Retail Trade,01/03/02,3,14814,15068,-254,-225,-29,15039,,,
2002 abr.,Retail Trade,01/04/02,4,14875,15054,-180,-164,-16,15038,,,
2002 may.,Retail Trade,01/05/02,5,14960,15046,-86,-72,-14,15032,,,
2002 jun.,Retail Trade,01/06/02,6,15033,15040,-7,-2,-5,15035,,,
2002 jul.,Retail Trade,01/07/02,7,15012,15034,-22,-10,-12,15022,,,
2002 ago.,Retail Trade,01/08/02,8,14981,15029,-48,-11,-37,14992,,,
2002 sep.,Retail Trade,01/09/02,9,14907,15031,-124,-101,-23,15008,,,
2002 oct.,Retail Trade,01/10/02,10,15034,15043,-9,2,-11,15032,,,
2002 nov.,Retail Trade,01/11/02,11,15384,15031,352,361,-9,15023,,,
2002 dic.,Retail Trade,01/12/02,12,15577,15016,561,551,10,15026,,,
2003 ene.,Retail Trade,01/01/03,1,14859,15001,-142,-94,-48,14953,,,
2003 feb.,Retail Trade,01/02/03,2,14652,14976,-324,-268,-56,14920,,,
2003 mar.,Retail Trade,01/03/03,3,14652,14951,-299,-225,-74,14878,,,
2003 abr.,Retail Trade,01/04/03,4,14726,14955,-229,-164,-65,14890,,,
2003 may.,Retail Trade,01/05/03,5,14826,14964,-138,-72,-66,14898,,,
2003 jun.,Retail Trade,01/06/03,6,14890,14972,-83,-2,-81,14891,,,
2003 jul.,Retail Trade,01/07/03,7,14861,14976,-116,-10,-105,14871,,,
2003 ago.,Retail Trade,01/08/03,8,14898,14983,-85,-11,-74,14909,,,
2003 sep.,Retail Trade,01/09/03,9,14865,15000,-135,-101,-34,14966,,,
2003 oct.,Retail Trade,01/10/03,10,15010,15024,-14,2,-16,15008,,,
2003 nov.,Retail Trade,01/11/03,11,15315,15026,289,361,-73,14954,,,
2003 dic.,Retail Trade,01/12/03,12,15505,15027,479,551,-72,14955,,,
2004 ene.,Retail Trade,01/01/04,1,14861,15024,-162,-94,-69,14955,,,
2004 feb.,Retail Trade,01/02/04,2,14694,15013,-319,-268,-51,14962,,,
2004 mar.,Retail Trade,01/03/04,3,14776,15000,-224,-225,1,15001,,,
2004 abr.,Retail Trade,01/04/04,4,14863,15015,-152,-164,12,15027,,,
2004 may.,Retail Trade,01/05/04,5,14987,15038,-51,-72,20,15059,,,
2004 jun.,Retail Trade,01/06/04,6,15082,15062,20,-2,21,15084,,,
2004 jul.,Retail Trade,01/07/04,7,15051,15080,-28,-10,-18,15062,,,
2004 ago.,Retail Trade,01/08/04,8,15055,15098,-43,-11,-32,15066,,,
2004 sep.,Retail Trade,01/09/04,9,14996,15127,-131,-101,-30,15097,,,
2004 oct.,Retail Trade,01/10/04,10,15155,15164,-10,2,-12,15152,,,
2004 nov.,Retail Trade,01/11/04,11,15526,15176,350,361,-11,15165,,,
2004 dic.,Retail Trade,01/12/04,12,15707,15183,524,551,-27,15156,,,
2005 ene.,Retail Trade,01/01/05,1,15051,15188,-137,-94,-43,15145,,,
2005 feb.,Retail Trade,01/02/05,2,14912,15183,-271,-268,-3,15180,,,
2005 mar.,Retail Trade,01/03/05,3,14956,15174,-219,-225,7,15181,,,
2005 abr.,Retail Trade,01/04/05,4,15069,15191,-122,-164,42,15233,,,
2005 may.,Retail Trade,01/05/05,5,15195,15212,-18,-72,54,15266,,,
2005 jun.,Retail Trade,01/06/05,6,15300,15232,68,-2,70,15302,,,
2005 jul.,Retail Trade,01/07/05,7,15328,15245,83,-10,93,15338,,,
2005 ago.,Retail Trade,01/08/05,8,15349,15258,90,-11,101,15360,,,
2005 sep.,Retail Trade,01/09/05,9,15226,15284,-57,-101,44,15328,,,
2005 oct.,Retail Trade,01/10/05,10,15349,15316,33,2,31,15347,,,
2005 nov.,Retail Trade,01/11/05,11,15742,15326,416,361,55,15381,,,
2005 dic.,Retail Trade,01/12/05,12,15938,15332,606,551,56,15388,,,
2006 ene.,Retail Trade,01/01/06,1,15246,15337,-91,-94,2,15339,,,
2006 feb.,Retail Trade,01/02/06,2,15067,15330,-263,-268,5,15335,,,
2006 mar.,Retail Trade,01/03/06,3,15150,15322,-172,-225,54,15375,,,
2006 abr.,Retail Trade,01/04/06,4,15171,15338,-166,-164,-3,15335,,,
2006 may.,Retail Trade,01/05/06,5,15254,15358,-105,-72,-33,15325,,,
2006 jun.,Retail Trade,01/06/06,6,15333,15379,-46,-2,-44,15334,,,
2006 jul.,Retail Trade,01/07/06,7,15326,15391,-65,-10,-55,15337,,,
2006 ago.,Retail Trade,01/08/06,8,15337,15403,-66,-11,-55,15348,,,
2006 sep.,Retail Trade,01/09/06,9,15235,15427,-192,-101,-90,15336,,,
2006 oct.,Retail Trade,01/10/06,10,15386,15456,-70,2,-72,15384,,,
2006 nov.,Retail Trade,01/11/06,11,15814,15460,354,361,-7,15452,,,
2006 dic.,Retail Trade,01/12/06,12,15982,15460,523,551,-28,15432,,,
2007 ene.,Retail Trade,01/01/07,1,15343,15458,-115,-94,-21,15436,,,
2007 feb.,Retail Trade,01/02/07,2,15182,15440,-258,-268,10,15450,,,
2007 mar.,Retail Trade,01/03/07,3,15301,15419,-118,-225,108,15526,,,
2007 abr.,Retail Trade,01/04/07,4,15327,15422,-95,-164,69,15491,,,
2007 may.,Retail Trade,01/05/07,5,15463,15430,33,-72,104,15534,,,
2007 jun.,Retail Trade,01/06/07,6,15512,15434,77,-2,79,15513,,,
2007 jul.,Retail Trade,01/07/07,7,15514,15432,83,-10,93,15525,,,
2007 ago.,Retail Trade,01/08/07,8,15538,15428,110,-11,121,15549,,,
2007 sep.,Retail Trade,01/09/07,9,15441,15429,12,-101,114,15542,,,
2007 oct.,Retail Trade,01/10/07,10,15529,15432,97,2,95,15527,,,
2007 nov.,Retail Trade,01/11/07,11,15995,15410,585,361,224,15633,,,
2007 dic.,Retail Trade,01/12/07,12,16162,15382,780,551,229,15611,,,
2008 ene.,Retail Trade,01/01/08,1,15464,15348,116,-94,209,15558,,,
2008 feb.,Retail Trade,01/02/08,2,15231,15300,-69,-268,199,15499,,,
2008 mar.,Retail Trade,01/03/08,3,15285,15248,36,-225,262,15510,,,
2008 abr.,Retail Trade,01/04/08,4,15248,15221,27,-164,190,15411,,,
2008 may.,Retail Trade,01/05/08,5,15302,15197,105,-72,177,15374,,,
2008 jun.,Retail Trade,01/06/08,6,15343,15169,174,-2,175,15344,,,
2008 jul.,Retail Trade,01/07/08,7,15309,15136,172,-10,183,15319,,,
2008 ago.,Retail Trade,01/08/08,8,15271,15100,171,-11,182,15282,,,
2008 sep.,Retail Trade,01/09/08,9,15099,15073,26,-101,128,15201,,,
2008 oct.,Retail Trade,01/10/08,10,15138,15051,88,2,86,15136,,,
2008 nov.,Retail Trade,01/11/08,11,15352,15008,344,361,-17,14990,,,
2008 dic.,Retail Trade,01/12/08,12,15424,14962,462,551,-88,14874,,,
2009 ene.,Retail Trade,01/01/09,1,14689,14917,-228,-94,-134,14782,,,
2009 feb.,Retail Trade,01/02/09,2,14439,14857,-418,-268,-150,14707,,,
2009 mar.,Retail Trade,01/03/09,3,14411,14796,-385,-225,-160,14636,,,
2009 abr.,Retail Trade,01/04/09,4,14400,14760,-361,-164,-197,14563,,,
2009 may.,Retail Trade,01/05/09,5,14495,14733,-238,-72,-166,14567,,,
2009 jun.,Retail Trade,01/06/09,6,14544,14705,-161,-2,-160,14545,,,
2009 jul.,Retail Trade,01/07/09,7,14489,14674,-185,-10,-175,14500,,,
2009 ago.,Retail Trade,01/08/09,8,14495,14647,-152,-11,-141,14506,,,
2009 sep.,Retail Trade,01/09/09,9,14368,14630,-263,-101,-161,14469,,,
2009 oct.,Retail Trade,01/10/09,10,14413,14620,-207,2,-209,14411,,,
2009 nov.,Retail Trade,01/11/09,11,14730,14591,138,361,-223,14368,,,
2009 dic.,Retail Trade,01/12/09,12,14864,14563,300,551,-250,14313,,,
2010 ene.,Retail Trade,01/01/10,1,14291,14536,-246,-94,-152,14384,,,
2010 feb.,Retail Trade,01/02/10,2,14123,14506,-383,-268,-115,14391,,,
2010 mar.,Retail Trade,01/03/10,3,14209,14477,-268,-225,-43,14435,,,
2010 abr.,Retail Trade,01/04/10,4,14269,14477,-208,-164,-44,14433,,,
2010 may.,Retail Trade,01/05/10,5,14380,14487,-107,-72,-35,14452,,,
2010 jun.,Retail Trade,01/06/10,6,14442,14497,-56,-2,-54,14443,,,
2010 jul.,Retail Trade,01/07/10,7,14445,14505,-60,-10,-49,14455,,,
2010 ago.,Retail Trade,01/08/10,8,14464,14514,-50,-11,-39,14474,,,
2010 sep.,Retail Trade,01/09/10,9,14361,14534,-173,-101,-72,14462,,,
2010 oct.,Retail Trade,01/10/10,10,14511,14562,-52,2,-54,14508,,,
2010 nov.,Retail Trade,01/11/10,11,14850,14571,279,361,-82,14489,,,
2010 dic.,Retail Trade,01/12/10,12,15008,14576,433,551,-118,14458,,,
2011 ene.,Retail Trade,01/01/11,1,14449,14582,-133,-94,-39,14542,,,
2011 feb.,Retail Trade,01/02/11,2,14283,14579,-297,-268,-29,14551,,,
2011 mar.,Retail Trade,01/03/11,3,14349,14576,-227,-225,-2,14575,,,
2011 abr.,Retail Trade,01/04/11,4,14489,14595,-106,-164,58,14653,,,
2011 may.,Retail Trade,01/05/11,5,14589,14618,-29,-72,42,14660,,,
2011 jun.,Retail Trade,01/06/11,6,14682,14639,43,-2,45,14684,,,
2011 jul.,Retail Trade,01/07/11,7,14718,14655,63,-10,73,14728,,,
2011 ago.,Retail Trade,01/08/11,8,14718,14672,45,-11,56,14728,,,
2011 sep.,Retail Trade,01/09/11,9,14617,14704,-87,-101,14,14718,,,
2011 oct.,Retail Trade,01/10/11,10,14752,14739,12,2,10,14750,,,
2011 nov.,Retail Trade,01/11/11,11,15142,14753,389,361,28,14781,,,
2011 dic.,Retail Trade,01/12/11,12,15297,14764,533,551,-18,14746,,,
2012 ene.,Retail Trade,01/01/12,1,14735,14771,-36,-94,58,14828,,,
2012 feb.,Retail Trade,01/02/12,2,14520,14769,-249,-268,19,14788,,,
2012 mar.,Retail Trade,01/03/12,3,14580,14767,-186,-225,39,14806,,,
2012 abr.,Retail Trade,01/04/12,4,14670,14787,-117,-164,47,14834,,,
2012 may.,Retail Trade,01/05/12,5,14776,14815,-40,-72,32,14847,,,
2012 jun.,Retail Trade,01/06/12,6,14816,14842,-26,-2,-25,14817,,,
2012 jul.,Retail Trade,01/07/12,7,14808,14862,-54,-10,-44,14818,,,
2012 ago.,Retail Trade,01/08/12,8,14815,14883,-68,-11,-57,14826,,,
2012 sep.,Retail Trade,01/09/12,9,14739,14917,-178,-101,-77,14840,,,
2012 oct.,Retail Trade,01/10/12,10,14878,14955,-78,2,-80,14876,,,
2012 nov.,Retail Trade,01/11/12,11,15363,14971,392,361,31,15002,,,
2012 dic.,Retail Trade,01/12/12,12,15463,14982,480,551,-71,14912,,,
2013 ene.,Retail Trade,01/01/13,1,14858,14992,-133,-94,-40,14952,,,
2013 feb.,Retail Trade,01/02/13,2,14672,14991,-319,-268,-51,14940,,,
2013 mar.,Retail Trade,01/03/13,3,14712,14989,-278,-225,-52,14937,,,
2013 abr.,Retail Trade,01/04/13,4,14809,15011,-202,-164,-38,14972,,,
2013 may.,Retail Trade,01/05/13,5,14932,15041,-108,-72,-37,15004,,,
2013 jun.,Retail Trade,01/06/13,6,15045,15068,-23,-2,-22,15047,,,
2013 jul.,Retail Trade,01/07/13,7,15097,15090,7,-10,18,15108,,,
2013 ago.,Retail Trade,01/08/13,8,15132,15114,17,-11,28,15142,,,
2013 sep.,Retail Trade,01/09/13,9,15053,15152,-99,-101,2,15154,,,
2013 oct.,Retail Trade,01/10/13,10,15212,15194,18,2,16,15210,,,
2013 nov.,Retail Trade,01/11/13,11,15655,15215,440,361,79,15294,,,
2013 dic.,Retail Trade,01/12/13,12,15839,15233,607,551,56,15289,,,
2014 ene.,Retail Trade,01/01/14,1,15171,15248,-77,-94,17,15264,,,
2014 feb.,Retail Trade,01/02/14,2,14952,15249,-297,-268,-29,15220,,,
2014 mar.,Retail Trade,01/03/14,3,15015,15251,-236,-225,-11,15241,,,
2014 abr.,Retail Trade,01/04/14,4,15137,15278,-141,-164,23,15301,,,
2014 may.,Retail Trade,01/05/14,5,15239,15311,-72,-72,-1,15310,,,
2014 jun.,Retail Trade,01/06/14,6,15355,15343,12,-2,13,15356,,,
2014 jul.,Retail Trade,01/07/14,7,15389,15367,22,-10,33,15400,,,
2014 ago.,Retail Trade,01/08/14,8,15380,15393,-13,-11,-2,15391,,,
2014 sep.,Retail Trade,01/09/14,9,15299,15430,-131,-101,-30,15400,,,
2014 oct.,Retail Trade,01/10/14,10,15482,15468,13,2,11,15480,,,
2014 nov.,Retail Trade,01/11/14,11,15894,15485,409,361,47,15533,,,
2014 dic.,Retail Trade,01/12/14,12,16048,15500,548,551,-3,15497,,,
2015 ene.,Retail Trade,01/01/15,1,15421,15513,-92,-94,2,15515,,,
2015 feb.,Retail Trade,01/02/15,2,15245,15513,-268,-268,0,15513,,,
2015 mar.,Retail Trade,01/03/15,3,15312,15509,-198,-225,28,15537,,,
2015 abr.,Retail Trade,01/04/15,4,15402,15533,-131,-164,33,15566,,,
2015 may.,Retail Trade,01/05/15,5,15530,15565,-34,-72,37,15602,,,
2015 jun.,Retail Trade,01/06/15,6,15621,15594,26,-2,28,15622,,,
2015 jul.,Retail Trade,01/07/15,7,15647,15615,32,-10,42,15657,,,
2015 ago.,Retail Trade,01/08/15,8,15626,15638,-12,-11,-1,15637,,,
2015 sep.,Retail Trade,01/09/15,9,15513,15669,-156,-101,-55,15615,,,
2015 oct.,Retail Trade,01/10/15,10,15697,15704,-7,2,-9,15695,,,
2015 nov.,Retail Trade,01/11/15,11,16096,15720,376,361,14,15734,,,
2015 dic.,Retail Trade,01/12/15,12,16222,15732,490,551,-61,15671,,,
2016 ene.,Retail Trade,01/01/16,1,15626,15737,-111,-94,-17,15719,,,
2016 feb.,Retail Trade,01/02/16,2,15487,15730,-243,-268,25,15755,,,
2016 mar.,Retail Trade,01/03/16,3,15577,15720,-143,-225,82,15802,,,
2016 abr.,Retail Trade,01/04/16,4,15649,15734,-86,-164,78,15812,,,
2016 may.,Retail Trade,01/05/16,5,15746,15755,-9,-72,62,15817,,,
2016 jun.,Retail Trade,01/06/16,6,15852,15772,80,-2,81,15853,,,
2016 jul.,Retail Trade,01/07/16,7,15874,15782,93,-10,103,15885,,,
2016 ago.,Retail Trade,01/08/16,8,15865,15792,73,-11,84,15875,,,
2016 sep.,Retail Trade,01/09/16,9,15750,15815,-64,-101,37,15851,,,
2016 oct.,Retail Trade,01/10/16,10,15900,15837,62,2,60,15897,,,
2016 nov.,Retail Trade,01/11/16,11,16260,15840,420,361,58,15899,,,
2016 dic.,Retail Trade,01/12/16,12,16394,15843,552,551,1,15844,,,
2017 ene.,Retail Trade,01/01/17,1,15854,15840,15,-94,108,15948,,,
2017 feb.,Retail Trade,01/02/17,2,15628,15825,-197,-268,71,15896,,,
2017 mar.,Retail Trade,01/03/17,3,15635,15811,-176,-225,50,15860,,,
2017 abr.,Retail Trade,01/04/17,4,15687,15818,-132,-164,32,15850,,,
2017 may.,Retail Trade,01/05/17,5,15760,15831,-72,-72,0,15831,,,
2017 jun.,Retail Trade,01/06/17,6,15843,15840,3,-2,5,15845,,,
2017 jul.,Retail Trade,01/07/17,7,15841,15841,0,-10,10,15851,,,
2017 ago.,Retail Trade,01/08/17,8,15810,15843,-33,-11,-22,15821,,,
